probe,GSM972389,GSM972390,GSM972396,GSM972401,GSM972409,GSM972412,GSM972413,GSM972422,GSM972429,GSM972433,GSM972438,GSM972440,GSM972443,GSM972444,GSM972446,GSM972453,GSM972457,GSM972459,GSM972463,GSM972467,GSM972472,GSM972473,GSM972475,GSM972476,GSM972477,GSM972479,GSM972480,GSM972487,GSM972488,GSM972489,GSM972496,GSM972502,GSM972510,GSM972512,GSM972521
242882_at,5.04185621332867,4.92043022496441,5.3322794161688,4.55694627567498,4.43125145063622,5.37006628333892,4.36879201642372,4.48633166640844,4.64309148412294,4.49882411512062,5.52391763784707,4.53886286422243,4.67573989020079,5.30672621298775,5.20597039507025,4.95859576595089,5.32426766051457,4.625315574213,5.1616373029219,4.97368221469346,4.06160482628196,4.00142044663344,5.16526692790323,4.80733665814694,4.70348122616732,6.08935647575929,4.82697954684186,5.0357683438883996,4.77996455291702,4.48429891116585,4.47867197645211,5.58850850928777,5.03428469155657,4.30125601687602,4.56534579098759
222032_s_at,5.85943159501723,5.8152883087794,6.36136261884111,5.85152175729634,5.81124716518985,5.97428230094333,5.74835350079483,6.61370030855649,5.74942470977829,6.16770927815873,5.62592690367618,6.05812426781569,6.250979005335,5.5361746260105,6.51143797413222,6.1647804986309,6.99302498995301,5.99413277026289,6.83949431713209,5.91477550065427,6.74059963953345,5.96898096731599,6.26683471962328,6.28154958148647,6.0948529718769,5.37663914139049,6.07885235373575,6.22916930802862,6.22460993006576,6.1511838477648,6.05272366158648,6.99207397480289,6.33022662459528,5.91726794904006,5.90802290249875
204735_at,5.25625688683018,6.30403407692225,5.68905938360163,6.51650163469042,6.09980041093549,5.59474376734839,5.85994206751148,6.35304021517493,5.7508600455897,5.70338334480964,6.97506558590505,6.00079694596087,5.78491379674554,7.37849863540033,6.78997121826956,5.35938950010949,6.5324369549827,5.17381027627319,6.71338891156005,6.82889212534476,6.71780265759783,5.65044668274845,5.59235503180893,5.50537715629885,5.94636183440856,5.84302522760649,6.40452134851695,5.91879903698439,6.48796002820158,6.00132704417659,6.17998198342977,6.87047821693219,6.47663158040151,6.28219736275016,6.75120636282954
205732_s_at,4.40615980175276,3.93407481691808,4.0398988593414,4.93435848849637,4.98578358386232,4.28489264302048,4.21310936443091,3.23645435419412,3.57084163575128,4.5816402321519,4.91896165199864,4.33811277117965,4.21322128707783,3.82371969512897,3.14586652510279,4.07622612943009,5.36578407095378,3.9584811522534,5.02463163037477,3.62318534946831,4.48859646679881,5.04903998645139,4.30118211862918,3.79550323095004,3.6902201691732,4.14851339343233,4.87874787208923,5.0009459745478,5.30269632171566,3.98721622073339,4.29625211799247,3.05661429017786,5.09703492950302,4.82819100679376,4.01316125264404
217882_at,9.01340049866182,8.97229846495996,9.10854252239942,9.02678899513112,9.32292858517927,8.89716522140119,8.9535027365991091,9.41177737618334,9.21074965627461,9.10787206548337,9.13783747612065,8.5259467378905,8.44347582988806,9.06595451539647,9.10967686915981,9.00797339158602,8.79471337608391,8.56242409880927,9.07161309646066,8.69996960327397,8.84050398148455,9.22980470937596,9.24200359375295,9.18438793838621,9.47960332452425,9.21605014966168,9.01876804951138,9.52024762939859,8.99834829012453,9.1533662889577,9.00862316733541,9.05614497870678,8.68285336519447,9.14305313543532,8.83068298121676
214877_at,6.18762960654785,6.11966358702186,6.26841053646227,5.56974683195455,6.70626135359245,4.58131334420994,3.95990659224763,5.95124874094946,7.00602374593296,5.66410244761936,5.25416846756483,6.63385638070176,6.37422434389094,6.86503584192508,5.4216919836602004,5.43021796768686,4.31723244769883,5.44056319573265,6.26571765532748,5.78722699961454,6.74491570661146,5.94718253787315,6.92312762334501,5.50622508876889,6.56262923831787,4.71757772456836,4.42507592097545,6.45375306890564,6.7532188112457,6.78390245901911,6.44030211223976,5.58219406171041,4.90065686099096,7.46448787524564,4.89162149276654
1569225_a_at,4.57716777059259,3.75055880990953,3.24975804687847,3.65529739557595,5.75309362724392,4.00626212470987,3.63679753912007,3.340740952372,5.45627048263559,3.51401055605619,3.6178316485657,4.18167343461966,3.90196158960801,4.06614681817002,3.15573164572496,4.11023175137423,3.49181430889223,3.61914011710548,3.18601756774918,4.67294780228052,2.84504985440057,5.56963653913238,3.70589226908486,3.43794492593909,3.82282443283403,2.88580177541068,4.41091311196487,3.86764951467249,3.9391343815047,3.71398258523474,4.79206644989844,3.31412242596202,3.69048300351665,4.02350426140831,5.00458538423339
221254_s_at,3.24529696274445,3.60337686954186,3.52961365049408,3.30671999714689,3.53204081864243,3.44691470677418,3.10705289135358,3.5572783710712,3.39981513091624,3.19507648083605,3.12351408036942,3.45141131162951,3.37487909845762,3.35345296905064,3.47843423731639,3.28982272506093,3.09230495462406,3.63659788768458,3.56024211323432,3.38426196768642,3.41250895960801,3.38232017750376,3.81591853267496,3.26146019701142,3.54769151507207,3.29124124674429,3.44416760288984,3.44389695712868,3.48582403366513,3.44810316799104,3.76346872461868,3.53185451956103,3.48915236438343,3.42398190846052,3.38397591895172
219696_at,8.92224265306753,5.97060855586207,9.15516937320342,7.80837087725881,7.786073085864,8.6081607126288109,7.85848550943593,7.58789181162447,6.91933199304009,8.42992345140835,8.88186416562774,8.57361674386824,7.28949895612658,7.08609344798583,7.55819385326061,7.95794281182164,8.91341815428029,8.51145635323153,8.76264537046828,6.85447036816469,8.69536898145462,8.18651789572505,8.03465888341131,7.46724645729074,8.36945298826284,7.6915523996054,8.08966443256635,8.54479216215798,8.36385829950291,8.36822308587396,8.12868367724669,7.41736807909754,8.78307465421872,8.12128491494337,8.43103211973984
1565769_at,2.98845542394449,3.06016411372028,2.95246134480093,2.81605554095182,2.72976150013447,3.4543258762705,3.04226618028693,2.99664546838913,3.2001547799267,2.89109046400342,2.70307818305403,2.71500221355086,2.92138498224534,2.7937309166982,2.88877235069623,2.86179471319379,2.88371273372576,3.06371197810448,2.96416343378363,2.80762728587903,2.7831972380398,3.19348313397132,2.95358687277862,2.90906200635019,2.91037511393085,2.93489329905308,3.17049811184513,3.12827740162599,3.03631152062277,2.80655299815991,3.00343628186108,2.75584097049074,2.89873616149329,3.01378723961326,2.80629896983526
